name,min_price,max_price,target_price,diagonal_inches,width_px,height_px,aspect_ratio,PPI,frequency_hz,contrast_ratio,brightness_cd,matrix_type,response_time_ms,total_pixels,diagonal_category,resolution_category,is_gaming,is_premium,brand
Samsung ML55E,13499.0,13499.0,299947.77999999997,55.0,1920.0,1080.0,1.7777777777777777,40.05285763785997,75.0,3500,400.0,VA,6.0,2.0736,XLarge,FullHD,0,0,Samsung
Terra 2727W HA V2,629.0,690.0,14654.09,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,100.0,1000,300.0,VA,5.0,2.0736,Large,FullHD,0,0,Terra
AOC Q27P3QW,1039.0,1395.0,27041.739999999998,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332337,75.0,1000,350.0,IPS,4.0,3.6864,Large,QHD,0,0,AOC
Iiyama ProLite T1932MSC-W1SAG,2496.0,2937.0,60360.63,19.0,1280.0,1024.0,1.25,86.27367393593732,75.0,1000,215.0,IPS,14.0,1.31072,Small,HD,0,0,Iiyama
Samsung Odyssey G55T 34,1020.0,1867.0,32074.57,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,165.0,2500,250.0,VA,4.0,4.9536,XLarge,QHD,1,0,Samsung
MSI G255PF E2,499.0,831.0,14776.3,24.5,1920.0,1080.0,1.7777777777777777,89.91457837070605,180.0,1000,300.0,IPS,1.0,2.0736,Medium,FullHD,1,0,MSI
Viewsonic VA3456-MHDJ,1202.0,1708.0,32330.1,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,75.0,1000,400.0,IPS,4.0,4.9536,XLarge,QHD,0,0,Viewsonic
HP Z27q,1059.0,1059.0,23530.98,27.0,5120.0,2880.0,1.7777777777777777,217.57107852664674,60.0,1000,300.0,IPS,14.0,14.7456,Large,4K,0,0,HP
NEC MultiSync M651-2,9488.0,13137.0,251363.75,65.0,3840.0,2160.0,1.7777777777777777,67.78175907945533,60.0,1000,500.0,IPS,6.0,8.2944,XLarge,4K,0,0,NEC
MSI MAG 274QRFW,997.0,1302.0,25541.89,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332337,180.0,1000,400.0,IPS,1.0,3.6864,Large,QHD,1,0,MSI
AOC 24B2XH,385.0,535.0,10221.199999999999,24.0,1920.0,1080.0,1.7777777777777777,91.7877987534291,75.0,1000,250.0,IPS,7.0,2.0736,Medium,FullHD,0,0,AOC
LG UltraWide 34WQ650,1147.0,1221.0,26308.48,34.0,2560.0,1080.0,2.3703703703703702,81.72025876146944,100.0,1000,400.0,IPS,5.0,2.7648,XLarge,FullHD,0,0,LG
Philips 40B1U6903CH,5919.0,8435.0,159472.94,39.7,5120.0,2160.0,2.3703703703703702,139.9742467450862,75.0,1000,300.0,IPS,4.0,11.0592,XLarge,4K,0,0,Philips
LG UltraWide 34WR50QK,999.0,1383.0,26464.02,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,100.0,3000,300.0,VA,5.0,4.9536,XLarge,QHD,0,0,LG
Redragon Pearl II,529.0,627.0,12843.16,23.6,1920.0,1080.0,1.7777777777777777,93.34352415602959,180.0,3000,250.0,VA,4.0,2.0736,Small,FullHD,1,0,Redragon
Asus TUF Gaming VG249Q3A,518.0,796.0,14598.539999999999,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,180.0,1000,250.0,IPS,1.0,2.0736,Small,FullHD,1,0,Asus
Lenovo D32u-40,1247.0,1602.0,31652.39,31.5,3840.0,2160.0,1.7777777777777777,139.8671219099872,60.0,3000,250.0,VA,4.0,8.2944,Large,4K,0,0,Lenovo
Samsung UD22B,10184.0,10184.0,226288.47999999998,22.0,960.0,960.0,1.0,61.711137267189606,126.92706645056727,4000,450.0,VA,8.0,0.9216,Small,HD,1,0,Samsung
Acer SA242YEwi,433.0,499.0,10354.519999999999,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,100.0,1000,250.0,IPS,4.0,2.0736,Small,FullHD,0,0,Acer
Asus ROG Strix OLED XG27ACDNG,2857.0,3582.0,71537.29,26.5,2560.0,1440.0,1.7777777777777777,110.83809660791438,360.0,1500000,250.0,OLED,1.0,3.6864,Medium,QHD,1,0,Asus
Asus VY27UQ,898.0,1036.0,21486.739999999998,27.0,3840.0,2160.0,1.7777777777777777,163.17830889498507,60.0,1000,350.0,IPS,5.0,8.2944,Large,4K,0,0,Asus
LG 24M38D,489.0,489.0,10865.58,24.0,1920.0,1080.0,1.7777777777777777,91.7877987534291,75.0,1000,200.0,TN,5.0,2.0736,Medium,FullHD,0,0,LG
Viewsonic VP2768a-4K,2160.0,3052.0,57905.32,27.0,3840.0,2160.0,1.7777777777777777,163.17830889498507,60.0,1300,350.0,IPS,6.0,8.2944,Large,4K,0,0,Viewsonic
Acer Vero CB272Gbmiprx,654.0,863.0,16853.87,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,120.0,1000,250.0,IPS,4.951367781155016,2.0736,Large,FullHD,1,0,Acer
Cooler Master Tempest GP27Q,2125.0,2125.0,47217.5,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332337,165.0,1000,1200.0,Other,1.0,3.6864,Large,QHD,1,0,Cooler Master
ASRock Phantom Gaming PG32QF2B,857.0,1237.0,23264.34,31.5,2560.0,1440.0,1.7777777777777777,93.24474793999147,165.0,3000,550.0,VA,5.0,3.6864,Large,QHD,1,0,ASRock
Samsung QM43B-T,7011.0,10959.0,199646.69999999998,43.0,3840.0,2160.0,1.7777777777777777,102.460798608479,60.0,4000,500.0,VA,8.0,8.2944,XLarge,4K,0,0,Samsung
Iiyama ProLite LH5041UHS-B2AG,2361.0,3147.0,61193.88,50.0,3840.0,2160.0,1.7777777777777777,88.11628680329193,60.0,5000,500.0,VA,4.442516268980477,8.2944,XLarge,4K,0,0,Iiyama
Asus C1275Q,498.0,534.0,11465.519999999999,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,75.0,1000,250.0,IPS,5.0,2.0736,Large,FullHD,0,0,Asus
Viewsonic IFP8650,25152.0,25152.0,558877.44,86.0,3840.0,2160.0,1.7777777777777777,51.2303993042395,60.0,1200,350.0,Other,8.0,8.2944,XLarge,4K,0,0,Viewsonic
Acer Nitro KG271M3bmiipx,684.0,835.0,16876.09,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,180.0,1000,250.0,IPS,4.951367781155016,2.0736,Large,FullHD,1,0,Acer
Iiyama G-Master GCB3481WQSU-B1,1387.0,1599.0,33174.46,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,180.0,4000,500.0,VA,4.442516268980477,4.9536,XLarge,QHD,1,0,Iiyama
AOC AGON AG275QX,1399.0,1671.0,34107.7,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332337,170.0,1000,400.0,IPS,1.0,3.6864,Large,QHD,1,0,AOC
AOC 24G4XED,347.0,347.0,7710.339999999999,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,180.0,1000,300.0,IPS,1.0,2.0736,Small,FullHD,1,0,AOC
Philips 222B1TC,1075.0,1369.0,27152.84,22.0,1920.0,1080.0,1.7777777777777777,100.13214409464992,75.0,1000,250.0,IPS,4.0,2.0736,Small,FullHD,0,0,Philips
