name,min_price,max_price,target_price,diagonal_inches,width_px,height_px,aspect_ratio,PPI,frequency_hz,contrast_ratio,brightness_cd,matrix_type,response_time_ms,total_pixels,diagonal_category,resolution_category,is_gaming,is_premium,brand,log_target,gaming_label
MSI Optix G32C4X,1238.0,1552.0,30996.9,31.5,1920.0,1080.0,1.7777777777777777,69.9335609549936,250.0,3000,300.0,VA,4.442516268980477,2.0736,Large,FullHD,1,0,MSI,10.341674739237211,Gaming
Asus ZenScreen Touch MB16AHT,1139.0,1468.0,28963.769999999997,15.6,1920.0,1080.0,1.7777777777777777,141.21199808219862,60.0,700,250.0,IPS,5.0,2.0736,Small,FullHD,0,0,Asus,10.27383554288121,Non-Gaming
AOC 24G2SPU,766.0,1527.0,25475.23,23.8,1920.0,1080.0,1.7777777777777777,92.55912479337388,165.0,1000,300.0,IPS,4.0,2.0736,Small,FullHD,1,0,AOC,10.145501139555387,Gaming
HP P34hc G4,1655.0,3135.0,53216.899999999994,34.0,3440.0,1440.0,2.388888888888889,109.68340725465096,60.0,3500,250.0,VA,5.0,4.9536,XLarge,QHD,0,0,HP,10.882150084903103,Non-Gaming
Dell SE2722H,393.0,499.0,9910.12,27.0,1920.0,1080.0,1.7777777777777777,81.58915444749253,75.0,3000,250.0,VA,4.0,2.0736,Large,FullHD,0,0,Dell,9.201412638092465,Non-Gaming
Acer Nitro VG240YM3bmiipx,497.0,620.0,12409.87,24.0,1920.0,1080.0,1.7777777777777777,91.7877987534291,180.0,1000,250.0,IPS,1.0,2.0736,Medium,FullHD,1,0,Acer,9.42632798049566,Gaming
Eizo FlexScan EV2495,2259.0,3422.0,63115.91,24.0,1920.0,1200.0,1.6,94.33981132056604,60.0,1000,350.0,IPS,5.0,2.304,Medium,FullHD,0,0,Eizo,11.052743999948827,Non-Gaming
Sony BRAVIA FW-55EZ20L,3763.0,4548.0,92335.21,55.0,3840.0,2160.0,1.7777777777777777,80.10571527571994,60.0,1200,350.0,IPS,8.0,8.2944,XLarge,4K,0,0,Sony,11.43319165125071,Non-Gaming
MSI G255F,419.0,854.0,14143.03,24.5,1920.0,1080.0,1.7777777777777777,89.91457837070605,180.0,1000,300.0,IPS,1.0,2.0736,Medium,FullHD,1,0,MSI,9.5570479059159,Gaming
KOORUI GN07,1007.0,1007.0,22375.539999999997,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332336,170.0,1000,300.0,IPS,4.951367781155016,3.6864,Large,QHD,1,0,KOORUI,10.015768367590242,Gaming
Asus VP32UQ,1682.0,1838.0,39107.2,32.0,3840.0,2160.0,1.7777777777777777,137.68169813014364,60.0,1000,350.0,IPS,4.0,8.2944,XLarge,4K,0,0,Asus,10.574087442655648,Non-Gaming
Asus TUF Gaming VG27AQ,1066.0,1446.0,27908.32,27.0,2560.0,1440.0,1.7777777777777777,108.78553926332336,165.0,1000,350.0,IPS,4.0,3.6864,Large,QHD,1,0,Asus,10.236715962206329,Gaming
Asus ZenScreen Touch MB16AMTR,1512.0,1923.0,38162.85,15.6,1920.0,1080.0,1.7777777777777777,141.21199808219862,60.0,700,250.0,IPS,5.0,2.0736,Small,FullHD,0,0,Asus,10.549644011458394,Non-Gaming
